query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
1,20,1733296682189,2179009,7786,9682,0
1,20,1733296712866,2209686,2095,3688,0
1,11,1733296746148,2242968,1216,1828,0
1,7,1733296749590,2246410,1348,2231,0
1,2,1733296778017,2274837,1239,2097,1
1,21,1733296837666,2334486,3189,5239,1
1,23,1733296845926,2342746,970,1044,0
1,3,1733296885575,2382395,1982,3285,0
1,3,1733296922284,2419104,2016,3541,0
1,21,1733296964042,2460862,2079,4067,0
1,5,1733297020604,2517424,2386,4610,0
1,16,1733297037080,2533900,1505,2192,0
1,11,1733297079554,2576374,954,1594,1
1,20,1733297113443,2610263,1765,3265,1
1,2,1733297136731,2633551,1059,1914,0
1,5,1733297191756,2688576,2304,4402,0
1,12,1733297236148,2732968,1355,2190,0
1,21,1733297242691,2739511,11324,13654,0
1,11,1733297279791,2776611,857,1523,0
1,21,1733297322396,2819216,2306,4336,0
1,8,1733297370495,2867315,1442,1970,0
