ARF
;LUBF;SSR;TPAT
1;1141;98%;8813
2;2597;96%;8201
3;4582;80%;8916
4;5836;78%;8433
5;6364;76%;8421
6;7026;74%;8885
7;7323;72%;8613
8;7531;72%;8222
9;7393;72%;8457
10;7785;70%;8096
11;7876;69%;8080
12;7962;68%;8219
13;7970;69%;7824
14;8709;67%;8405
15;8341;69%;7866
16;8543;68%;8250
17;8468;67%;8197
18;8857;66%;8472
