;ARF;UBF;SSR;FTS;TPAT
SUT3a-OARF;170;11237,193203883497;0,8;0,7693103531867648;674,6091666666667
SUT3a-HARF;200;10967,380339805824;0,7827586206896552;0,7670369661549055;659,0505555555555
SUT4a-OARF;180;130,02096500321727;0,8620689655172413;0,8499534289572572;4112,900833333333
