ARF
;LUBF;SSR;FTS
1;778;98%;95%
2;2022;96%;96%
3;2175;80%;83%
4;2854;78%;80%
5;2786;76%;79%
6;2723;74%;79%
7;2934;72%;78%
8;3314;72%;78%
9;3022;72%;78%
10;3302;70%;76%
11;3328;69%;76%
12;3179;68%;75%
13;3472;69%;76%
14;3444;67%;73%
15;3781;69%;75%
16;3519;68%;74%
17;3513;67%;73%
18;3373;66%;73%
