ARF
;LUBF;SSR;FTS
1;1141;98%;95%
2;2597;96%;96%
3;4582;80%;83%
4;5836;78%;80%
5;6364;76%;79%
6;7026;74%;79%
7;7323;72%;78%
8;7531;72%;78%
9;7393;72%;78%
10;7785;70%;76%
11;7876;69%;76%
12;7962;68%;75%
13;7970;69%;76%
14;8709;67%;73%
15;8341;69%;75%
16;8543;68%;74%
17;8468;67%;73%
18;8857;66%;73%
