ARF
;LUBF;SSR;FTS
1;828;98%;95%
2;2072;96%;96%
3;2225;80%;83%
4;2904;78%;80%
5;2836;76%;79%
6;2773;74%;79%
7;2984;72%;78%
8;3364;72%;78%
9;3072;72%;78%
10;3352;70%;76%
11;3378;69%;76%
12;3229;68%;75%
13;3522;69%;76%
14;3494;67%;73%
15;3831;69%;75%
