;ARF;UBF;SSR;FTS;TPAT
SUT1;3;5251,243172369683;0,7413793103448276;0,7773208274437275;10078,146944444443
SUT2-HARF;9;7393,024223845551;0,7172413793103448;0,7777587706184086;8457,217222222222
SUT2-OARF;8;7530,542806442807;0,7206896551724138;0,7803640818721006;8221,952916666667
