ARF
;LUBF;SSR;TPAT
1;778;98%;6921
2;2022;96%;6702
3;2175;80%;4733
4;2854;78%;4495
5;2786;76%;4063
6;2723;74%;3839
7;2934;72%;3811
8;3314;72%;3932
9;3022;72%;3803
10;3302;70%;3742
11;3328;69%;3719
12;3179;68%;3600
13;3472;69%;3693
14;3444;67%;3625
15;3781;69%;3832
16;3519;68%;3692
17;3513;67%;3692
18;3373;66%;3533
