query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
19,12,1733228679931,6756,11156,14817,0
19,13,1733228742087,68912,3241,5732,0
19,11,1733228749531,76356,1860,3301,1
19,14,1733228796564,123389,4425,8661,0
19,1,1733228832810,159635,6650,13200,0
19,11,1733228871799,198624,2323,3413,0
19,3,1733228891966,218791,3069,5828,0
19,4,1733228935944,262769,2415,4625,0
19,23,1733228962465,289290,3395,3461,0
19,1,1733229021612,348437,6473,12877,0
19,6,1733229046482,373307,787,1359,0
19,8,1733229103201,430026,5004,10746,0
19,13,1733229114882,441707,6367,8973,0
19,5,1733229142648,469473,5885,10643,0
19,7,1733229191671,518496,4326,8233,0
19,16,1733229223074,549899,2637,7753,0
19,10,1733229263644,590469,6082,10368,0
19,16,1733229302215,629040,2668,4100,0
19,8,1733229345490,672315,4833,8565,0
19,13,1733229388388,715213,6000,8697,0
19,15,1733229393968,720793,2918,8519,0
19,8,1733229431275,758100,5188,10287,0
19,5,1733229489886,816711,5111,11726,0
19,12,1733229522761,849586,3755,7732,0
19,18,1733229545570,872395,6933,17191,1
19,10,1733229573767,900592,6657,11666,1
19,5,1733229609414,936239,5594,12932,0
19,4,1733229664538,991363,3416,5456,0
19,2,1733229713166,1039991,5192,7707,0
19,19,1733229750519,1077344,1668,4160,0
19,4,1733229775967,1102792,5300,8269,0
19,4,1733229821328,1148153,5205,7637,0
19,21,1733229842140,1168965,9007,16945,0
19,9,1733230510083,1836908,4346,9136,0
19,15,1733230552109,1878934,1994,3497,0
19,10,1733230583496,1910321,5420,11491,0
19,19,1733230632294,1959119,1565,3407,0
19,18,1733230683574,2010399,6296,11756,0
19,7,1733230711996,2038821,3865,7218,0
19,21,1733230743389,2070214,8931,17169,0
19,11,1733230773252,2100077,1701,2963,1
19,17,1733230801885,2128710,6015,11610,0
19,13,1733230859149,2185974,2905,5276,0
19,20,1733230904898,2231723,4620,9999,0
19,10,1733230931424,2258249,4408,7797,1
19,20,1733230960343,2287168,10533,15968,0
19,13,1733230988251,2315076,5160,8730,1
19,21,1733231022380,2349205,10140,21936,0
19,5,1733231068540,2395365,5483,10866,0
19,17,1733231097620,2424445,7281,13397,0
19,11,1733231146980,2473805,4102,5759,0
19,3,1733231179762,2506587,4379,7709,0
19,12,1733231218739,2545564,2455,5730,1
19,5,1733231233517,2560342,7434,15565,0
19,2,1733231266488,2593313,4348,7494,0
19,4,1733231317711,2644536,4454,6488,0
19,19,1733231361426,2688251,3749,5082,0
19,3,1733231374184,2701009,6661,11600,0
19,11,1733231409726,2736551,1965,3466,0
19,1,1733231470459,2797284,6979,14117,0
19,11,1733231486982,2813807,2832,4578,0
19,3,1733231524942,2851767,3335,7274,0
19,10,1733231556942,2883767,7320,17600,0
19,16,1733231597553,2924378,6240,13799,1
19,22,1733231634840,2961665,1795,3133,0
19,6,1733231671750,2998575,675,1537,0
19,6,1733231701642,3028467,911,1491,0
19,7,1733231758011,3084836,3547,7492,1
19,17,1733231785546,3112371,6679,12672,1
19,10,1733231817264,3144089,8617,12433,0
19,3,1733231858848,3185673,5418,10155,1
19,21,1733231888186,3215011,10055,19013,0
19,3,1733231914253,3241078,3733,6286,0
19,23,1733231952485,3279310,4561,4607,0
19,2,1733232006554,3333379,4457,11957,1
19,19,1733232031543,3358368,2895,5765,0
19,10,1733232090687,3417512,8319,16683,0
19,8,1733232102919,3429744,5638,16972,0
19,13,1733232132020,3458845,4079,6648,0
19,5,1733232166741,3493566,5261,14525,0
19,7,1733232232681,3559506,4539,8439,1
19,12,1733232251310,3578135,2809,5048,0
