TenantName;QueryNumber;ThreadName;Event;TimeStamp
tenant6;q78;Timer-0;Launched;16:30:41.691
tenant6;q78;Timer-0;Started;16:30:41.692
tenant6;q34;Timer-1;Launched;16:30:42.573
tenant6;q34;Timer-1;Started;16:30:42.574
tenant6;q89;Timer-2;Launched;16:30:44.955
tenant6;q89;Timer-2;Started;16:30:44.955
tenant6;q93;Timer-3;Launched;16:30:45.254
tenant6;q44;Timer-4;Launched;16:30:47.242
tenant6;q58;Timer-5;Launched;16:30:48.967
tenant6;q69;Timer-6;Launched;16:30:49.249
tenant6;q40;Timer-7;Launched;16:30:51.162
tenant6;q27;Timer-8;Launched;16:30:51.406
tenant6;q67;Timer-9;Launched;16:30:54.124
tenant6;q45;Timer-10;Launched;16:30:54.162
tenant6;q44;Timer-11;Launched;16:30:54.275
tenant6;q19;Timer-12;Launched;16:30:54.443
tenant6;q33;Timer-13;Launched;16:30:54.650
tenant6;q34;Timer-1;Finished;16:30:54.869
tenant6;q93;Timer-3;Started;16:30:54.869
tenant6;q27;Timer-14;Launched;16:30:54.893
tenant6;q89;Timer-2;Finished;16:30:55.073
tenant6;q44;Timer-4;Started;16:30:55.073
tenant6;q65;Timer-15;Launched;16:30:55.100
tenant6;q93;Timer-3;Finished;16:30:55.227
tenant6;q58;Timer-5;Started;16:30:55.227
tenant6;q31;Timer-16;Launched;16:30:55.251
tenant6;q18;Timer-17;Launched;16:30:55.344
tenant6;q89;Timer-18;Launched;16:30:55.382
tenant6;q8;Timer-19;Launched;16:30:55.701
tenant6;q87;Timer-20;Launched;16:30:55.813
tenant6;q15;Timer-21;Launched;16:30:55.813
tenant6;q45;Timer-22;Launched;16:30:55.927
tenant6;q58;Timer-23;Launched;16:30:56.283
tenant6;q89;Timer-24;Launched;16:30:56.320
tenant6;q17;Timer-25;Launched;16:30:56.414
tenant6;q96;Timer-26;Launched;16:30:56.770
tenant6;q23;Timer-27;Launched;16:30:57.258
tenant6;q61;Timer-28;Launched;16:30:57.540
tenant6;q20;Timer-29;Launched;16:30:57.803
tenant6;q70;Timer-30;Launched;16:30:58.009
tenant6;q54;Timer-31;Launched;16:30:58.140
tenant6;q15;Timer-32;Launched;16:30:58.197
tenant6;q72;Timer-33;Launched;16:30:58.217
tenant6;q61;Timer-34;Launched;16:30:58.386
tenant6;q48;Timer-35;Launched;16:30:58.461
tenant6;q82;Timer-36;Launched;16:30:58.667
tenant6;q14;Timer-37;Launched;16:30:58.686
tenant6;q44;Timer-4;Finished;16:30:58.727
tenant6;q69;Timer-6;Started;16:30:58.727
tenant6;q81;Timer-38;Launched;16:30:58.780
tenant6;q89;Timer-39;Launched;16:30:59.005
tenant6;q78;Timer-0;Finished;16:30:59.206
tenant6;q40;Timer-7;Started;16:30:59.206
tenant6;q58;Timer-5;Finished;16:30:59.245
tenant6;q27;Timer-8;Started;16:30:59.245
tenant6;q69;Timer-6;Finished;16:30:59.505
tenant6;q67;Timer-9;Started;16:30:59.505
tenant6;q89;Timer-40;Launched;16:30:59.568
tenant6;q75;Timer-41;Launched;16:30:59.587
tenant6;q12;Timer-42;Launched;16:30:59.607
tenant6;q97;Timer-43;Launched;16:30:59.644
tenant6;q88;Timer-44;Launched;16:30:59.663
tenant6;q61;Timer-45;Launched;16:31:00.207
tenant6;q19;Timer-46;Launched;16:31:00.432
tenant6;q61;Timer-47;Launched;16:31:00.525
tenant6;q5;Timer-48;Launched;16:31:00.544
tenant6;q36;Timer-49;Launched;16:31:00.733
tenant6;q44;Timer-50;Launched;16:31:00.770
tenant6;q53;Timer-51;Launched;16:31:00.939
tenant6;q96;Timer-52;Launched;16:31:00.939
tenant6;q99;Timer-53;Launched;16:31:01.014
tenant6;q62;Timer-54;Launched;16:31:01.127
tenant6;q90;Timer-55;Launched;16:31:01.334
tenant6;q82;Timer-56;Launched;16:31:01.577
tenant6;q2;Timer-57;Launched;16:31:01.840
tenant6;q41;Timer-58;Launched;16:31:02.066
tenant6;q27;Timer-8;Finished;16:31:02.117
tenant6;q45;Timer-10;Started;16:31:02.117
tenant6;q40;Timer-7;Finished;16:31:02.200
tenant6;q44;Timer-11;Started;16:31:02.200
tenant6;q75;Timer-59;Launched;16:31:02.403
tenant6;q6;Timer-60;Launched;16:31:02.497
tenant6;q36;Timer-61;Launched;16:31:02.535
tenant6;q44;Timer-11;Finished;16:31:02.617
tenant6;q19;Timer-12;Started;16:31:02.617
tenant6;q17;Timer-62;Launched;16:31:02.854
tenant6;q97;Timer-63;Launched;16:31:02.948
tenant6;q99;Timer-64;Launched;16:31:03.754
tenant6;q89;Timer-65;Launched;16:31:03.848
tenant6;q45;Timer-10;Finished;16:31:04.093
tenant6;q33;Timer-13;Started;16:31:04.093
tenant6;q97;Timer-66;Launched;16:31:04.148
tenant6;q36;Timer-67;Launched;16:31:04.204
tenant6;q29;Timer-68;Launched;16:31:04.280
tenant6;q67;Timer-9;Finished;16:31:04.627
tenant6;q27;Timer-14;Started;16:31:04.628
tenant6;q19;Timer-12;Finished;16:31:06.019
