TenantName;QueryNumber;ThreadName;Event;TimeStamp
tenant3;q93;Timer-0;Launched;22:03:03.526
tenant3;q93;Timer-0;Started;22:03:03.526
tenant3;q80;Timer-1;Launched;22:03:04.865
tenant3;q80;Timer-1;Started;22:03:04.865
tenant3;q37;Timer-2;Launched;22:03:07.956
tenant3;q37;Timer-2;Started;22:03:07.956
tenant3;q93;Timer-0;Finished;22:03:09.566
tenant3;q28;Timer-3;Launched;22:03:10.726
tenant3;q28;Timer-3;Started;22:03:10.726
tenant3;q96;Timer-4;Launched;22:03:10.957
tenant3;q89;Timer-5;Launched;22:03:11.003
tenant3;q21;Timer-6;Launched;22:03:13.888
tenant3;q12;Timer-7;Launched;22:03:14.027
tenant3;q3;Timer-8;Launched;22:03:14.627
tenant3;q86;Timer-9;Launched;22:03:14.720
tenant3;q20;Timer-10;Launched;22:03:17.327
tenant3;q28;Timer-3;Finished;22:03:19.151
tenant3;q96;Timer-4;Started;22:03:19.151
tenant3;q80;Timer-1;Finished;22:03:19.152
tenant3;q89;Timer-5;Started;22:03:19.152
tenant3;q37;Timer-2;Finished;22:03:19.263
tenant3;q21;Timer-6;Started;22:03:19.263
tenant3;q15;Timer-11;Launched;22:03:20.281
tenant3;q96;Timer-12;Launched;22:03:20.281
tenant3;q89;Timer-13;Launched;22:03:20.350
tenant3;q21;Timer-14;Launched;22:03:20.420
tenant3;q22;Timer-15;Launched;22:03:20.512
tenant3;q42;Timer-16;Launched;22:03:20.561
tenant3;q96;Timer-4;Finished;22:03:20.678
tenant3;q12;Timer-7;Started;22:03:20.678
tenant3;q89;Timer-5;Finished;22:03:21.727
tenant3;q3;Timer-8;Started;22:03:21.727
tenant3;q53;Timer-17;Launched;22:03:21.784
tenant3;q21;Timer-6;Finished;22:03:21.808
tenant3;q86;Timer-9;Started;22:03:21.808
tenant3;q97;Timer-18;Launched;22:03:22.292
tenant3;q12;Timer-7;Finished;22:03:22.378
tenant3;q20;Timer-10;Started;22:03:22.378
tenant3;q52;Timer-19;Launched;22:03:22.523
tenant3;q3;Timer-8;Finished;22:03:22.530
tenant3;q15;Timer-11;Started;22:03:22.530
tenant3;q42;Timer-20;Launched;22:03:22.546
tenant3;q86;Timer-21;Launched;22:03:22.961
tenant3;q12;Timer-22;Launched;22:03:23.032
tenant3;q86;Timer-9;Finished;22:03:23.336
tenant3;q96;Timer-12;Started;22:03:23.336
tenant3;q63;Timer-23;Launched;22:03:23.355
tenant3;q20;Timer-10;Finished;22:03:23.359
tenant3;q89;Timer-13;Started;22:03:23.359
tenant3;q96;Timer-12;Finished;22:03:24.122
tenant3;q21;Timer-14;Started;22:03:24.122
tenant3;q15;Timer-11;Finished;22:03:24.406
tenant3;q22;Timer-15;Started;22:03:24.407
tenant3;q98;Timer-24;Launched;22:03:24.465
tenant3;q20;Timer-25;Launched;22:03:24.557
tenant3;q98;Timer-26;Launched;22:03:24.789
tenant3;q89;Timer-13;Finished;22:03:24.996
tenant3;q42;Timer-16;Started;22:03:24.996
