queryId;scaleFactor;execTime;expectedQCT;perfSLO_premium;perfSLO_standard;perfSLO_basic
q34;1;856;856;8560;42800;85600
q35;1;1798;1798000;1798000;1798000;1798000
q36;1;1301;1301;13010;65050;130100
q37;1;191;191000;191000;191000;191000
q38;1;1828;1828000;1828000;1828000;1828000
q39;1;2183;2183;21830;109150;218300
q40;1;809;809000;809000;809000;809000
q41;1;266;266;2660;13300;26600
q42;1;743;743;7430;37150;74300
q43;1;846;846;8460;42300;84600
q44;1;1279;1279;12790;63950;127900
q45;1;423;423;4230;21150;42300
q46;1;1199;1199;11990;59950;119900
q47;1;2558;2558;25580;127900;255800
q48;1;1125;1125;11250;56250;112500
q49;1;1254;1254000;1254000;1254000;1254000
q50;1;1490;1490;14900;74500;149000
q51;1;2572;2572;25720;128600;257200
q52;1;741;741;7410;37050;74100
q53;1;1158;1158;11580;57900;115800
q54;1;1147;1147000;1147000;1147000;1147000
q55;1;764;764;7640;38200;76400
q56;1;1558;1558000;1558000;1558000;1558000
q57;1;1359;1359000;1359000;1359000;1359000
q58;1;1454;1454000;1454000;1454000;1454000
q59;1;1609;1609;16090;80450;160900
q60;1;1737;1737000;1737000;1737000;1737000
q61;1;219;219;2190;10950;21900
q62;1;892;892;8920;44600;89200
q63;1;1173;1173;11730;58650;117300
q64;1;2782;2782000;2782000;2782000;2782000
q65;1;2031;2031;20310;101550;203100
q66;1;1267;1267000;1267000;1267000;1267000
q67;1;2238;2238;22380;111900;223800
q68;1;1335;1335;13350;66750;133500
q69;1;1649;1649000;1649000;1649000;1649000
q70;1;1713;1713;17130;85650;171300
q71;1;981;981000;981000;981000;981000
q72;1;4307;4307000;4307000;4307000;4307000
q73;1;974;974;9740;48700;97400
q74;1;2254;2254;22540;112700;225400
q75;1;3181;3181000;3181000;3181000;3181000
q76;1;1279;1279000;1279000;1279000;1279000
q77;1;1254;1254000;1254000;1254000;1254000
q78;1;2727;2727000;2727000;2727000;2727000
q79;1;1166;1166;11660;58300;116600
q80;1;1923;1923000;1923000;1923000;1923000
q81;1;532;532000;532000;532000;532000
q82;1;1350;1350;13500;67500;135000
q83;1;541;541000;541000;541000;541000
q84;1;759;759;7590;37950;75900
q85;1;1562;1562;15620;78100;156200
q86;1;581;581;5810;29050;58100
q87;1;2213;2213000;2213000;2213000;2213000
q88;1;3114;3114;31140;155700;311400
q89;1;1348;1348;13480;67400;134800
q90;1;394;394;3940;19700;39400
q91;1;433;433000;433000;433000;433000
q92;1;679;679;6790;33950;67900
q93;1;70;70;700;3500;7000
q94;1;298;298;2980;14900;29800
q95;1;763;763;7630;38150;76300
q96;1;702;702;7020;35100;70200
q97;1;1691;1691000;1691000;1691000;1691000
q98;1;889;889;8890;44450;88900
q99;1;822;822000;822000;822000;822000
q1;100;12314;12314;123140;615700;1231400
q2;100;5727;5727000;5727000;5727000;5727000
q3;100;3050;3050;30500;152500;305000
q4;100;21279;21279000;21279000;21279000;21279000
q5;100;5516;5516000;5516000;5516000;5516000
q6;100;1905;1905;19050;95250;190500
q7;100;2622;2622;26220;131100;262200
q8;100;2531;2531;25310;126550;253100
q9;100;3300;3300;33000;165000;330000
q10;100;3315;3315000;3315000;3315000;3315000
q11;100;9905;9905;99050;495250;990500
q12;100;1637;1637;16370;81850;163700
q13;100;2450;2450;24500;122500;245000
q14;100;25923;25923000;25923000;25923000;25923000
q15;100;2679;2679000;2679000;2679000;2679000
q16;100;2068;2068000;2068000;2068000;2068000
q17;100;5178;5178000;5178000;5178000;5178000
q18;100;2871;2871000;2871000;2871000;2871000
q19;100;2592;2592;25920;129600;259200
q20;100;1537;1537000;1537000;1537000;1537000
q21;100;2594;2594;25940;129700;259400
q22;100;10355;10355;103550;517750;1035500
q23;100;28364;28364000;28364000;28364000;28364000
q24;100;12904;12904;129040;645200;1290400
q25;100;3458;3458000;3458000;3458000;3458000
q26;100;1787;1787000;1787000;1787000;1787000
q27;100;2330;2330;23300;116500;233000
q28;100;4593;4593;45930;229650;459300
q29;100;3761;3761000;3761000;3761000;3761000
q30;100;2941;2941;29410;147050;294100
q31;100;5434;5434;54340;271700;543400
q32;100;1755;1755000;1755000;1755000;1755000
q33;100;2751;2751000;2751000;2751000;2751000
q34;100;1837;1837;18370;91850;183700
q35;100;4790;4790000;4790000;4790000;4790000
q36;100;2099;2099;20990;104950;209900
q37;100;2076;2076000;2076000;2076000;2076000
q38;100;5978;5978000;5978000;5978000;5978000
q39;100;9831;9831;98310;491550;983100
q40;100;1928;1928000;1928000;1928000;1928000
q41;100;394;394;3940;19700;39400
q42;100;1056;1056;10560;52800;105600
q43;100;1177;1177;11770;58850;117700
q44;100;2047;2047;20470;102350;204700
q45;100;2171;2171;21710;108550;217100
q46;100;2659;2659;26590;132950;265900
q47;100;3670;3670;36700;183500;367000
q48;100;1836;1836;18360;91800;183600
q49;100;3939;3939000;3939000;3939000;3939000
q50;100;5809;5809;58090;290450;580900
q51;100;7016;7016;70160;350800;701600
q52;100;1360;1360;13600;68000;136000
q53;100;1501;1501;15010;75050;150100
q54;100;2523;2523000;2523000;2523000;2523000
q55;100;1338;1338;13380;66900;133800
q56;100;2562;2562000;2562000;2562000;2562000
q57;100;2912;2912000;2912000;2912000;2912000
q58;100;2784;2784000;2784000;2784000;2784000
q59;100;2669;2669;26690;133450;266900
q60;100;1662;1662000;1662000;1662000;1662000
q61;100;229;229;2290;11450;22900
q62;100;1134;1134;11340;56700;113400
q63;100;1070;1070;10700;53500;107000
q64;100;9007;9007000;9007000;9007000;9007000
q65;100;4996;4996;49960;249800;499600
q66;100;2778;2778000;2778000;2778000;2778000
q67;100;11447;11447;114470;572350;1144700
q68;100;3085;3085;30850;154250;308500
q69;100;2746;2746000;2746000;2746000;2746000
q70;100;2398;2398;23980;119900;239800
q71;100;1859;1859000;1859000;1859000;1859000
q72;100;8705;8705000;8705000;8705000;8705000
q73;100;1704;1704;17040;85200;170400
q74;100;7488;7488;74880;374400;748800
q75;100;7550;7550000;7550000;7550000;7550000
q76;100;2107;2107000;2107000;2107000;2107000
q77;100;2995;2995000;2995000;2995000;2995000
q78;100;11679;11679000;11679000;11679000;11679000
q79;100;2086;2086;20860;104300;208600
q80;100;6884;6884000;6884000;6884000;6884000
q81;100;3074;3074000;3074000;3074000;3074000
q82;100;2611;2611;26110;130550;261100
q83;100;1577;1577000;1577000;1577000;1577000
q84;100;1391;1391;13910;69550;139100
q85;100;3273;3273;32730;163650;327300
q86;100;1038;1038;10380;51900;103800
q87;100;6142;6142000;6142000;6142000;6142000
q88;100;4931;4931;49310;246550;493100
q89;100;1567;1567;15670;78350;156700
q90;100;1012;1012;10120;50600;101200
q91;100;1590;1590000;1590000;1590000;1590000
q92;100;1188;1188;11880;59400;118800
q93;100;4220;4220;42200;211000;422000
q94;100;1267;1267;12670;63350;126700
q95;100;1045;1045;10450;52250;104500
q96;100;1231;1231;12310;61550;123100
q97;100;7320;7320000;7320000;7320000;7320000
q98;100;1493;1493;14930;74650;149300
q99;100;1507;1507000;1507000;1507000;1507000
