queryId;scaleFactor;execTime;expectedQCT;perfSLO_premium;perfSLO_standard;perfSLO_basic
q46;1;596;59;590;2950;5900
q11;1;4757;475;4750;23750;47500
q52;1;104;10;100;500;1000
q93;1;1;0;0;0;0
q90;1;215;21;210;1050;2100
q96;1;120;12;120;600;1200
q7;1;313;31;310;1550;3100
q81;1;135;13500;13500;13500;13500
q1;1;278;27;270;1350;2700
q17;1;263;26300;26300;26300;26300
q44;1;1358;135;1350;6750;13500
q26;1;229;22900;22900;22900;22900
q35;1;1347;134700;134700;134700;134700
q53;1;340;34;340;1700;3400
q59;1;1636;163;1630;8150;16300
q62;1;116;11;110;550;1100
q68;1;418;41;410;2050;4100
q25;1;234;23400;23400;23400;23400
q77;1;649;64900;64900;64900;64900
q36;1;533;53;530;2650;5300
q95;1;8709;870;8700;43500;87000
q54;1;1919;191900;191900;191900;191900
q8;1;692;69;690;3450;6900
q91;1;126;12600;12600;12600;12600
q2;1;3539;353900;353900;353900;353900
q43;1;248;24;240;1200;2400
q72;1;2157;215700;215700;215700;215700
q49;1;1233;123300;123300;123300;123300
q78;1;18901;1890100;1890100;1890100;1890100
q20;1;88;8800;8800;8800;8800
q64;1;4515;451500;451500;451500;451500
q73;1;330;33;330;1650;3300
q12;1;57;5;50;250;500
q58;1;590;59000;59000;59000;59000
q67;1;6459;645;6450;32250;64500
q21;1;890;89;890;4450;8900
q88;1;2790;279;2790;13950;27900
q94;1;226;22;220;1100;2200
q92;1;100;10;100;500;1000
q97;1;1538;153800;153800;153800;153800
q3;1;114;11;110;550;1100
q15;1;107;10700;10700;10700;10700
q45;1;130;13;130;650;1300
q51;1;2258;225;2250;11250;22500
q10;1;823;82300;82300;82300;82300
q39;1;5990;599;5990;29950;59900
q86;1;133;13;130;650;1300
q5;1;4233;423300;423300;423300;423300
q34;1;398;39;390;1950;3900
q40;1;106;10600;10600;10600;10600
q75;1;1812;181200;181200;181200;181200
q70;1;1408;140;1400;7000;14000
q28;1;2967;296;2960;14800;29600
q69;1;1790;179000;179000;179000;179000
q12;100;1297;129;1290;6450;12900
q73;100;5479;547;5470;27350;54700
q79;100;8339;833;8330;41650;83300
q18;100;5870;587000;587000;587000;587000
q82;100;15597;1559;15590;77950;155900
q27;100;5245;524;5240;26200;52400
q4;100;1133842;113384200;113384200;113384200;113384200
q64;100;16642;1664200;1664200;1664200;1664200
q55;100;3302;330;3300;16500;33000
q36;100;94352;9435;94350;471750;943500
q98;100;3266;326;3260;16300;32600
q40;100;2397;239700;239700;239700;239700
q5;100;194300;19430000;19430000;19430000;19430000
q22;100;296601;29660;296600;1483000;2966000
q37;100;19994;1999400;1999400;1999400;1999400
q63;100;4853;485;4850;24250;48500
q45;100;2180;218;2180;10900;21800
q74;100;119075;11907;119070;595350;1190700
q92;100;6358;635;6350;31750;63500
q91;100;1050;105000;105000;105000;105000
q26;100;2959;295900;295900;295900;295900
q97;100;153173;15317300;15317300;15317300;15317300
q56;100;7581;758100;758100;758100;758100
q21;100;4680;468;4680;23400;46800
q44;100;14651;1465;14650;73250;146500
q47;100;46619;4661;46610;233050;466100
q50;100;11388;1138;11380;56900;113800
q99;100;8512;851200;851200;851200;851200
q23;100;368960;36896000;36896000;36896000;36896000
q96;100;2924;292;2920;14600;29200
q20;100;2256;225600;225600;225600;225600
q72;100;1562361;156236100;156236100;156236100;156236100
q19;100;4233;423;4230;21150;42300
q75;100;82749;8274900;8274900;8274900;8274900
q66;100;4633;463300;463300;463300;463300
q2;100;227472;22747200;22747200;22747200;22747200
q25;100;5972;597200;597200;597200;597200
q81;100;9160;916000;916000;916000;916000
q31;100;32151;3215;32150;160750;321500
q28;100;42232;4223;42230;211150;422300
q69;100;8268;826800;826800;826800;826800
q77;100;7195;719500;719500;719500;719500
q83;100;2162;216200;216200;216200;216200
q42;100;3370;337;3370;16850;33700
q17;100;6105;610500;610500;610500;610500
q58;100;8876;887600;887600;887600;887600
q88;100;28817;2881;28810;144050;288100
q9;100;44031;4403;44030;220150;440300
q94;100;31260;3126;31260;156300;312600
q53;100;4716;471;4710;23550;47100
q76;100;5411;541100;541100;541100;541100
q15;100;3158;315800;315800;315800;315800
q70;100;53473;5347;53470;267350;534700
q67;100;475102;47510;475100;2375500;4751000
q24;100;7412;741;7410;37050;74100
q61;100;11;1;10;50;100
q7;100;5337;533;5330;26650;53300
q39;100;216522;21652;216520;1082600;2165200
q43;100;9441;944;9440;47200;94400
q52;100;3418;341;3410;17050;34100
q48;100;12305;1230;12300;61500;123000
q34;100;8619;861;8610;43050;86100
q57;100;27528;2752800;2752800;2752800;2752800
q86;100;24997;2499;24990;124950;249900
q80;100;8054;805400;805400;805400;805400
q49;100;16620;1662000;1662000;1662000;1662000
q51;100;143953;14395;143950;719750;1439500
q14;100;194876;19487600;19487600;19487600;19487600
q10;100;15907;1590700;1590700;1590700;1590700
q33;100;7132;713200;713200;713200;713200
q62;100;4858;485;4850;24250;48500
q1;100;15943;1594;15940;79700;159400
q85;100;4970;497;4970;24850;49700
q6;100;4461;446;4460;22300;44600
q38;100;227027;22702700;22702700;22702700;22702700
q41;100;162522;16252;162520;812600;1625200
q59;100;28741;2874;28740;143700;287400
q93;100;11431;1143;11430;57150;114300
q32;100;15173;1517300;1517300;1517300;1517300
q68;100;5883;588;5880;29400;58800
q87;100;230870;23087000;23087000;23087000;23087000
q78;100;1599187;159918700;159918700;159918700;159918700
q13;100;12485;1248;12480;62400;124800
q84;100;1783;178;1780;8900;17800
q11;100;748936;74893;748930;3744650;7489300
q90;100;2578;257;2570;12850;25700
q16;100;327971;32797100;32797100;32797100;32797100
q8;100;13118;1311;13110;65550;131100
q60;100;7557;755700;755700;755700;755700
q89;100;7754;775;7750;38750;77500
q54;100;86713;8671300;8671300;8671300;8671300
q46;100;12774;1277;12770;63850;127700
q65;100;90782;9078;90780;453900;907800
q30;100;4768;476;4760;23800;47600
q3;100;3414;341;3410;17050;34100
q71;100;6681;668100;668100;668100;668100
q35;100;98685;9868500;9868500;9868500;9868500
q29;100;7731;773100;773100;773100;773100
